C	0000023040	C	0108A01511342	VILLA ELISA                        	000	S-CON2	000000000000000	000000000097231	0000000000000	0000000000000	0000000000000	000000000097231	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01511243	VILLA ELISA                        	000	S-CON2	000000000000000	000000000142481	0000000000000	0000000000000	0000000000000	000000000142481	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01511242	VILLA ELISA                        	000	S-CON2	000000000000000	000000000054250	0000000000000	0000000000000	0000000000000	000000000054250	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01510311	VILLA ELISA                        	000	S-CON2	000000000000000	000000000173764	0000000000000	0000000000000	0000000000000	000000000173764	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01510071	VILLA ELISA                        	000	S-CON2	000000000000000	000000000328055	0000000000000	0000000000000	0000000000000	000000000328055	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01509722	VILLA ELISA                        	000	S-CON2	000000000000000	000000029639394	0000000000000	0000000000000	0000000000000	000000029639394	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01509327	VILLA ELISA                        	000	S-CON2	000000000000000	000000016177899	0000000000000	0000000000000	0000000000000	000000016177899	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01509120	VILLA ELISA                        	000	S-CON2	000000000000000	000000000256443	0000000000000	0000000000000	0000000000000	000000000256443	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01508879	VILLA ELISA                        	000	S-CON2	000000000000000	000000000907605	0000000000000	0000000000000	0000000000000	000000000907605	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	C	0108A01508712	VILLA ELISA                        	000	S-CON2	000000000000000	000000001451465	0000000000000	0000000000000	0000000000000	000000001451465	10122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000023	
C	0000023040	A	0108A07137449	VILLA ELISA                        	000	S42300	000000000177676	000000000000000	0000000037312	0000000000000	0000000005330	000000000220318	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000003	
C	0000023040	A	0108A07137448	VILLA ELISA                        	000	S42300	000000000585205	000000009464977	0000000122894	0000000017555	0000000064879	000000010255510	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000065	
C	0000023040	A	0108A07137447	VILLA ELISA                        	000	S42300	000000000335254	000000001340286	0000000070402	0000000010059	0000000016760	000000001772761	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000015	
C	0000023040	A	0108A07135762	VILLA ELISA                        	000	S41329	000000000041289	000000000267138	0000000008671	0000000000000	0000000002575	000000000319673	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000002	
C	0000023040	A	0108A07135761	VILLA ELISA                        	000	S41329	000000000538863	000000003569322	0000000113162	0000000016165	0000000034011	000000004271523	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	50	000023	
C	0000023040	C	0108A01507823	VILLA ELISA                        	000	S-CON2	000000000000000	000000004455437	0000000000000	0000000000000	0000000000000	000000004455437	09122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000001	
C	0000023040	A	0108A07133286	VILLA ELISA                        	000	S22300	000000000270524	000000010942328	0000000056810	0000000008115	0000000062829	000000011340606	07122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000063	
C	0000023040	A	0108A07133285	VILLA ELISA                        	000	S22300	000000000068796	000000000704307	0000000014447	0000000000000	0000000005585	000000000793135	07122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000006	
C	0000023040	A	0108A07131758	VILLA ELISA                        	000	S21329	000000000076330	000000000218640	0000000016029	0000000000000	0000000003383	000000000314382	07122021	00000	C.A.E.A.  	31487908312936	15122021	30713911603     	49	000003	
