Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
17/09/2020 07:54:00 p.m.;FAC;A001401285754;0,00;1.919,56;403,11;0,00;9,60;0,00;2.332,27
17/09/2020 07:57:00 p.m.;FAC;A001309356547;0,00;893,97;187,73;0,00;4,47;0,00;1.086,17
17/09/2020 08:00:00 p.m.;FAC;A001401285760;0,00;446,64;93,79;0,00;2,23;0,00;542,66
17/09/2020 08:01:00 p.m.;FAC;A001309356600;0,00;539,52;113,30;0,00;2,70;0,00;655,52
18/09/2020 11:00:00 a.m.;FAC;A001401285929;763,94;263,83;55,40;0,00;5,14;0,00;1.088,31
18/09/2020 11:15:00 a.m.;FAC;A001401285975;6.033,34;0,00;0,00;0,00;30,17;0,00;6.063,51
18/09/2020 11:57:00 a.m.;FAC;A001401286088;1.693,34;0,00;0,00;0,00;8,47;0,00;1.701,81
18/09/2020 12:22:00 p.m.;FAC;A001401286127;925,01;0,00;0,00;0,00;4,63;0,00;929,64
18/09/2020 07:05:00 p.m.;FAC;A001401286293;4.974,19;0,00;0,00;0,00;24,87;0,00;4.999,06
18/09/2020 08:00:00 p.m.;FAC;A001309361245;0,00;3.740,95;785,60;0,00;18,70;0,00;4.545,25
19/09/2020 11:20:00 a.m.;FAC;A001401286605;3.261,36;376,90;79,15;0,00;18,19;0,00;3.735,60
19/09/2020 12:00:00 p.m.;FAC;A001401286706;2.049,81;0,00;0,00;0,00;10,25;0,00;2.060,06
19/09/2020 08:00:00 p.m.;FAC;A001401286792;1.036,50;0,00;0,00;0,00;5,18;0,00;1.041,68
21/09/2020 07:10:00 p.m.;FAC;A001401286918;352,66;0,00;0,00;0,00;1,76;0,00;354,42
21/09/2020 08:00:00 p.m.;FAC;A001401286962;10.392,15;0,00;0,00;0,00;51,96;0,00;10.444,11
21/09/2020 08:07:00 p.m.;FAC;A001401286988;1.293,19;0,00;0,00;0,00;6,47;0,00;1.299,66
21/09/2020 10:39:00 p.m.;FAC;A001309368844;0,00;4.272,96;897,32;0,00;21,36;0,00;5.191,64
22/09/2020 11:21:00 a.m.;FAC;A001401287270;12.690,17;0,00;0,00;0,00;63,45;0,00;12.753,62
22/09/2020 11:56:00 a.m.;FAC;A001309370261;0,00;311,44;65,40;0,00;1,56;0,00;378,40
22/09/2020 12:00:00 p.m.;FAC;A001401287415;11.622,77;228,13;47,91;0,00;59,25;0,00;11.958,06
22/09/2020 12:30:00 p.m.;FAC;A001401287520;3.543,46;0,00;0,00;0,00;17,72;0,00;3.561,18
22/09/2020 03:50:00 p.m.;FAC;A001309371707;0,00;1.856,32;389,83;0,00;9,28;0,00;2.255,43
22/09/2020 07:10:00 p.m.;FAC;A001401287704;12.709,12;0,00;0,00;0,00;63,55;0,00;12.772,67
22/09/2020 07:25:00 p.m.;FAC;A001309372308;8.858,64;0,00;0,00;0,00;44,29;0,00;8.902,93
22/09/2020 07:54:00 p.m.;FAC;A001309372609;0,00;276,48;58,06;0,00;1,38;0,00;335,92
22/09/2020 08:00:00 p.m.;FAC;A001401287840;432,79;0,00;0,00;0,00;2,16;0,00;434,95
22/09/2020 08:01:00 p.m.;FAC;A001309372644;0,00;1.487,74;312,43;0,00;7,44;0,00;1.807,61
23/09/2020 11:21:00 a.m.;FAC;A001401287999;5.719,28;0,00;0,00;0,00;28,60;0,00;5.747,88
23/09/2020 12:00:00 p.m.;FAC;A001401288114;4.113,40;1.582,50;332,32;0,00;28,48;0,00;6.056,70
23/09/2020 12:12:00 p.m.;FAC;A001401288165;1.601,28;0,00;0,00;0,00;8,01;0,00;1.609,29
23/09/2020 07:41:00 p.m.;FAC;A001401288438;7.479,49;0,00;0,00;0,00;37,40;0,00;7.516,89
